date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-05-13,CE,Quixadá,city,7474,134,395,True,87728.0,88321.0,2311306.0,8462.31361,0.0179
2021-05-11,CE,Quixadá,city,7352,137,394,False,87728.0,88321.0,2311306.0,8324.18111,0.0186
2021-05-10,CE,Quixadá,city,7335,137,393,False,87728.0,88321.0,2311306.0,8304.93314,0.0187
2021-05-09,CE,Quixadá,city,7257,137,392,False,87728.0,88321.0,2311306.0,8216.61892,0.0189
2021-05-08,CE,Quixadá,city,7219,137,391,False,87728.0,88321.0,2311306.0,8173.59405,0.019
2021-05-07,CE,Quixadá,city,7067,137,390,False,87728.0,88321.0,2311306.0,8001.49455,0.0194
2021-05-06,CE,Quixadá,city,7026,134,389,False,87728.0,88321.0,2311306.0,7955.07297,0.0191
2021-05-05,CE,Quixadá,city,6934,134,388,False,87728.0,88321.0,2311306.0,7850.90749,0.0193
2021-05-04,CE,Quixadá,city,6893,134,387,False,87728.0,88321.0,2311306.0,7804.48591,0.0194
2021-05-03,CE,Quixadá,city,6823,120,386,False,87728.0,88321.0,2311306.0,7725.22956,0.0176
2021-05-02,CE,Quixadá,city,6579,120,385,False,87728.0,88321.0,2311306.0,7448.96457,0.0182
2021-04-30,CE,Quixadá,city,6555,119,384,False,87728.0,88321.0,2311306.0,7421.79097,0.0182
2021-04-29,CE,Quixadá,city,6491,114,383,False,87728.0,88321.0,2311306.0,7349.32802,0.0176
2021-04-28,CE,Quixadá,city,6436,114,382,False,87728.0,88321.0,2311306.0,7287.05517,0.0177
2021-04-26,CE,Quixadá,city,6363,105,381,False,87728.0,88321.0,2311306.0,7204.40212,0.0165
2021-04-25,CE,Quixadá,city,6170,105,380,False,87728.0,88321.0,2311306.0,6985.88105,0.017
2021-04-24,CE,Quixadá,city,6165,105,379,False,87728.0,88321.0,2311306.0,6980.21988,0.017
2021-04-23,CE,Quixadá,city,6139,105,378,False,87728.0,88321.0,2311306.0,6950.78181,0.0171
2021-04-22,CE,Quixadá,city,6081,105,377,False,87728.0,88321.0,2311306.0,6885.11226,0.0173
2021-04-21,CE,Quixadá,city,6009,105,376,False,87728.0,88321.0,2311306.0,6803.59144,0.0175
2021-04-20,CE,Quixadá,city,5909,105,375,False,87728.0,88321.0,2311306.0,6690.36809,0.0178
2021-04-18,CE,Quixadá,city,5871,105,374,False,87728.0,88321.0,2311306.0,6647.34321,0.0179
2021-04-16,CE,Quixadá,city,5752,105,373,False,87728.0,88321.0,2311306.0,6512.60742,0.0183
2021-04-13,CE,Quixadá,city,5624,104,372,False,87728.0,88321.0,2311306.0,6367.68153,0.0185
2021-04-12,CE,Quixadá,city,5564,104,371,False,87728.0,88321.0,2311306.0,6299.74751,0.0187
2021-04-11,CE,Quixadá,city,5517,104,370,False,87728.0,88321.0,2311306.0,6246.53253,0.0189
2021-04-10,CE,Quixadá,city,5480,104,369,False,87728.0,88321.0,2311306.0,6204.63989,0.019
2021-04-09,CE,Quixadá,city,5476,104,368,False,87728.0,88321.0,2311306.0,6200.11096,0.019
2021-04-07,CE,Quixadá,city,5357,105,367,False,87728.0,88321.0,2311306.0,6065.37517,0.0196
2021-04-05,CE,Quixadá,city,5325,105,366,False,87728.0,88321.0,2311306.0,6029.14369,0.0197
2021-04-04,CE,Quixadá,city,5312,105,365,False,87728.0,88321.0,2311306.0,6014.42466,0.0198
2021-04-03,CE,Quixadá,city,5294,105,364,False,87728.0,88321.0,2311306.0,5994.04445,0.0198
2021-04-02,CE,Quixadá,city,5292,105,363,False,87728.0,88321.0,2311306.0,5991.77998,0.0198
2021-04-01,CE,Quixadá,city,5259,105,362,False,87728.0,88321.0,2311306.0,5954.41628,0.02
2021-03-31,CE,Quixadá,city,5251,105,361,False,87728.0,88321.0,2311306.0,5945.35841,0.02
2021-03-28,CE,Quixadá,city,5190,103,360,False,87728.0,88321.0,2311306.0,5876.29216,0.0198
2021-03-27,CE,Quixadá,city,5164,103,359,False,87728.0,88321.0,2311306.0,5846.85409,0.0199
2021-03-25,CE,Quixadá,city,5110,103,358,False,87728.0,88321.0,2311306.0,5785.71348,0.0202
2021-03-24,CE,Quixadá,city,5094,103,357,False,87728.0,88321.0,2311306.0,5767.59774,0.0202
2021-03-23,CE,Quixadá,city,5074,103,356,False,87728.0,88321.0,2311306.0,5744.95307,0.0203
2021-03-22,CE,Quixadá,city,5093,103,355,False,87728.0,88321.0,2311306.0,5766.46551,0.0202
2021-03-21,CE,Quixadá,city,5032,103,354,False,87728.0,88321.0,2311306.0,5697.39926,0.0205
2021-03-20,CE,Quixadá,city,5024,103,353,False,87728.0,88321.0,2311306.0,5688.34139,0.0205
2021-03-19,CE,Quixadá,city,5022,103,352,False,87728.0,88321.0,2311306.0,5686.07692,0.0205
2021-03-17,CE,Quixadá,city,4968,102,351,False,87728.0,88321.0,2311306.0,5624.93631,0.0205
2021-03-16,CE,Quixadá,city,4943,101,350,False,87728.0,88321.0,2311306.0,5596.63047,0.0204
2021-03-15,CE,Quixadá,city,4937,101,349,False,87728.0,88321.0,2311306.0,5589.83707,0.0205
2021-03-14,CE,Quixadá,city,4924,100,348,False,87728.0,88321.0,2311306.0,5575.11804,0.0203
2021-03-13,CE,Quixadá,city,4921,100,347,False,87728.0,88321.0,2311306.0,5571.72133,0.0203
2021-03-12,CE,Quixadá,city,4921,100,346,False,87728.0,88321.0,2311306.0,5571.72133,0.0203
2021-03-11,CE,Quixadá,city,4890,100,345,False,87728.0,88321.0,2311306.0,5536.62209,0.0204
2021-03-10,CE,Quixadá,city,4884,100,344,False,87728.0,88321.0,2311306.0,5529.82869,0.0205
2021-03-09,CE,Quixadá,city,4877,100,343,False,87728.0,88321.0,2311306.0,5521.90306,0.0205
2021-03-08,CE,Quixadá,city,4868,100,342,False,87728.0,88321.0,2311306.0,5511.71296,0.0205
2021-03-07,CE,Quixadá,city,4858,100,341,False,87728.0,88321.0,2311306.0,5500.39062,0.0206
2021-03-06,CE,Quixadá,city,4855,100,340,False,87728.0,88321.0,2311306.0,5496.99392,0.0206
2021-03-05,CE,Quixadá,city,4838,100,339,False,87728.0,88321.0,2311306.0,5477.74595,0.0207
2021-03-04,CE,Quixadá,city,4833,100,338,False,87728.0,88321.0,2311306.0,5472.08478,0.0207
2021-03-03,CE,Quixadá,city,4806,99,337,False,87728.0,88321.0,2311306.0,5441.51448,0.0206
2021-03-02,CE,Quixadá,city,4775,99,336,False,87728.0,88321.0,2311306.0,5406.41524,0.0207
2021-03-01,CE,Quixadá,city,4769,99,335,False,87728.0,88321.0,2311306.0,5399.62183,0.0208
2021-02-28,CE,Quixadá,city,4766,99,334,False,87728.0,88321.0,2311306.0,5396.22513,0.0208
2021-02-27,CE,Quixadá,city,4742,99,333,False,87728.0,88321.0,2311306.0,5369.05153,0.0209
2021-02-25,CE,Quixadá,city,4718,94,332,False,87728.0,88321.0,2311306.0,5341.87792,0.0199
2021-02-24,CE,Quixadá,city,4707,88,331,False,87728.0,88321.0,2311306.0,5329.42335,0.0187
2021-02-23,CE,Quixadá,city,4697,88,330,False,87728.0,88321.0,2311306.0,5318.10102,0.0187
2021-02-22,CE,Quixadá,city,4671,88,329,False,87728.0,88321.0,2311306.0,5288.66295,0.0188
2021-02-21,CE,Quixadá,city,4669,88,328,False,87728.0,88321.0,2311306.0,5286.39848,0.0188
2021-02-20,CE,Quixadá,city,4666,88,327,False,87728.0,88321.0,2311306.0,5283.00178,0.0189
2021-02-19,CE,Quixadá,city,4650,88,326,False,87728.0,88321.0,2311306.0,5264.88604,0.0189
2021-02-18,CE,Quixadá,city,4649,88,325,False,87728.0,88321.0,2311306.0,5263.75381,0.0189
2021-02-16,CE,Quixadá,city,4683,92,324,False,87728.0,88321.0,2311306.0,5302.24975,0.0196
